"","YEAR","GEOID","A","B","C"
"151",1990,"220090307004",1426.3,1426.3,1426.3
"152",1990,"220090307005",1625.44,1625.44,1625.44
"153",1990,"220090308001",1403,1403,1403
"154",1990,"220090308002",863,863,863
"155",1990,"220090309001",1031,1031,1031
"156",1990,"220090309002",2118,2118,2118
"157",1990,"220119601001",1302,1302,1302
"158",1990,"220119601002",1485,1485,1485
"159",1990,"220119601003",796,796,796
"160",1990,"220119601004",691,691,691
"161",1990,"220119602001",1473,1473,1473
"162",1990,"220119602002",1305,1305,1305
"163",1990,"220119602003",1254,1254,1254
"164",1990,"220119603001",909,909,909
"165",1990,"220119603002",981,981,981
"166",1990,"220119603003",1780,1780,1780
"167",1990,"220119603004",1048,1048,1048
"168",1990,"220119604001",931,931,931
"169",1990,"220119604002",1262,1262,1262
"170",1990,"220119604003",1174,1174,1174
"171",1990,"220119605001",1549,1549,1549
"172",1990,"220119605002",1597,1597,1597
"173",1990,"220119605003",1474,1474,1474
"174",1990,"220119606001",876.34,876.34,876.34
"175",1990,"220119606002",1448.83,1448.83,1448.83
"176",1990,"220119606003",995.75,995.75,995.75
"177",1990,"220119607001",2564,2564,2564
"178",1990,"220119607002",1406,1406,1406
"179",1990,"220119607003",1781,1781,1781
"180",1990,"220139701001",731,731,731
"181",1990,"220139701002",1191.98,1191.98,1191.98
"182",1990,"220139701003",1052,1052,1052
"183",1990,"220139701004",916.91,916.91,916.91
"184",1990,"220139702001",1405.24,1405.24,1405.24
"185",1990,"220139702002",1061.72,1061.72,1061.72
"186",1990,"220139703001",1745.6,1745.6,1745.6
"187",1990,"220139703002",1359,1359,1359
"188",1990,"220139703003",758,758,758
"189",1990,"220139704001",884.4,884.4,884.4
"190",1990,"220139704002",677,677,677
"191",1990,"220139704003",835,835,835
"192",1990,"220139705001",773,773,773
"193",1990,"220139705002",854,854,854
"194",1990,"220139705003",731,731,731
"195",1990,"220139705004",1003,1003,1003
"196",1990,"220150104001",888.42,888.42,888.42
"197",1990,"220150104002",1073.36,1073.36,1073.36
"198",1990,"220150105001",1829,1829,1829
"199",1990,"220150105002",1127,1127,1127
"200",1990,"220150105003",848,848,848
"201",1990,"220150105004",817,817,817
"202",1990,"220150106011",2265.4,2265.4,2265.4
"203",1990,"220150106012",1857,1857,1857
"204",1990,"220150106013",2100.04,2100.04,2100.04
"205",1990,"220150106014",961,961,961
"206",1990,"220150106021",1736,1736,1736
"207",1990,"220150106022",1249,1249,1249
"208",1990,"220150107011",907,907,907
"209",1990,"220150107012",727,727,727
"210",1990,"220150107013",905,905,905
"211",1990,"220150107014",1319,1319,1319
"212",1990,"220150107021",1117,1117,1117
"213",1990,"220150107022",987,987,987
"214",1990,"220150107023",1400,1400,1400
"215",1990,"220150108011",1047.25,1047.25,1047.25
"216",1990,"220150108012",1235.75,1235.75,1235.75
"217",1990,"220150108013",1199.42,1199.42,1199.42
"218",1990,"220150108041",1383,1383,1383
"219",1990,"220150108042",1486,1486,1486
"220",1990,"220150108043",2379,2379,2379
"221",1990,"220150108044",697,697,697
"222",1990,"220150108051",69.28,69.28,69.28
"223",1990,"220150108052",629.07,629.07,629.07
"224",1990,"220150108061",1052,1052,1052
"225",1990,"220150108062",1046,1046,1046
"226",1990,"220150108063",1806,1806,1806
"227",1990,"220150108064",1050,1050,1050
"228",1990,"220150109001",1552.1,1552.1,1552.1
"229",1990,"220150109002",1965.9,1965.9,1965.9
"230",1990,"220150110011",2028.56,2028.56,2028.56
"231",1990,"220150110012",1023.74,1023.74,1023.74
"232",1990,"220150110013",1277.26,1277.26,1277.26
"233",1990,"220150110021",681,681,681
"234",1990,"220150110022",876,876,876
"235",1990,"220150110023",956,956,956
"236",1990,"220150111031",1331,1331,1331
"237",1990,"220150111032",893,893,893
"238",1990,"220150111033",1309.93,1309.93,1309.93
"239",1990,"220150111034",1230.07,1230.07,1230.07
"240",1990,"220150111051",1245,1245,1245
"241",1990,"220150111052",1792,1792,1792
"242",1990,"220150111053",1143,1143,1143
"243",1990,"220150111054",1602,1602,1602
"244",1990,"220150111061",772.09,772.09,772.09
"245",1990,"220150111062",894,894,894
"246",1990,"220150111063",1223,1223,1223
"247",1990,"220150111064",1342.34,1342.34,1342.34
"248",1990,"220150111065",844.1,844.1,844.1
"249",1990,"220150111071",1327.48,1327.48,1327.48
"250",1990,"220150111072",829,829,829
"251",1990,"220150111081",888,888,888
"252",1990,"220150111082",847.14,847.14,847.14
"253",1990,"220150111083",796.86,796.86,796.86
"254",1990,"220150111084",738.52,738.52,738.52
"255",1990,"220150111091",923,923,923
"256",1990,"220150111092",600,600,600
"257",1990,"220150111093",1064.67,1064.67,1064.67
"258",1990,"220150111101",1288,1288,1288
"259",1990,"220150111102",1864.01,1864.01,1864.01
"260",1990,"220150111103",816.99,816.99,816.99
"261",1990,"220150112001",1082,1082,1082
"262",1990,"220150112002",893.02,893.02,893.02
"263",1990,"220150112003",2053.98,2053.98,2053.98
"264",1990,"220150112004",1026,1026,1026
"265",1990,"220150112005",699,699,699
"266",1990,"220150112006",708,708,708
"267",1990,"220150113001",1303,1303,1303
